city,loc,pop,state,zip
SOUTH CHATHAM,"[-69.980758, 41.687634]",4744,MA,2633
COTUIT,"[-70.433431, 41.696025]",3266,MA,2635
DENNIS,"[-70.191054, 41.732166]",3216,MA,2638
DENNIS PORT,"[-70.132711, 41.664873]",2510,MA,2639
EASTHAM,"[-69.984865, 41.840781]",4582,MA,2642
FORESTDALE,"[-70.514317, 41.682695]",2712,MA,2644
HARWICH,"[-70.057929, 41.70082]",7363,MA,2645
HARWICH PORT,"[-70.076755, 41.67128]",1843,MA,2646
MARSTONS MILLS,"[-70.416321, 41.670274]",5777,MA,2648
MASHPEE,"[-70.485361, 41.618116]",4469,MA,2649
NORTH CHATHAM,"[-69.966607, 41.70298]",995,MA,2650
NORTH TRURO,"[-70.08751, 42.033779]",834,MA,2652
ORLEANS,"[-69.982198, 41.779161]",5860,MA,2653
OSTERVILLE,"[-70.383726, 41.63005]",2330,MA,2655
PROVINCETOWN,"[-70.186504, 42.053364]",3561,MA,2657
SOUTH CHATHAM,"[-70.024106, 41.680126]",840,MA,2659
SOUTH DENNIS,"[-70.15851, 41.709711]",6680,MA,2660
BASS RIVER,"[-70.19731, 41.672805]",8514,MA,2664
TRURO,"[-70.056362, 41.998792]",739,MA,2666
WELLFLEET,"[-70.018587, 41.928934]",2373,MA,2667
